Title,Genre,Premiere,Runtime,IMDb Score,Language
Feminists: What Were They Thinking?,Documentary,"October 12, 2018",86,7,English
Gaga: Five Foot Two,Documentary,"September 22, 2017",100,7,English
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,"November 3, 2020",14,7,English
Kingdom of Us,Documentary,"October 13, 2017",109,7,English
"Lorena, Light-Footed Woman",Documentary,"November 20, 2019",28,7,Spanish
Los Tigres del Norte at Folsom Prison,Documentary,"September 15, 2019",64,7,Spanish
Ma Rainey's Black Bottom,Drama,"December 18, 2020",94,7,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,"December 18, 2020",31,7,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,"March 17, 2021",99,7,English
Pele,Documentary,"February 23, 2021",108,7,English
ReMastered: Devil at the Crossroads,Documentary,"April 26, 2019",48,7,English
ReMastered: The Lion's Share,Documentary,"May 17, 2019",84,7,English
ReMastered: The Miami Showband Massacre,Documentary,"March 22, 2019",70,7,English
Resurface,Documentary,"September 1, 2017",27,7,English
Rocko's Modern Life: Static Cling,Animation / Comedy,"August 9, 2019",45,7,English
Rose Island,Comedy,"December 9, 2020",117,7,Italian
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,"November 22, 2018",104,7,English
The Dirt,Biopic,"March 22, 2019",108,7,English
The Night Comes for Us,Action-thriller,"October 19, 2018",121,7,Indonesian
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,"January 26, 2017",36,7.1,English
Angela's Christmas,Animation,"November 30, 2018",30,7.1,English
Angela's Christmas Wish,Animation,"December 1, 2020",47,7.1,English
Beats,Drama,"June 19, 2019",110,7.1,English
Circus of Books,Documentary,"April 22, 2020",92,7.1,English
Dance Dreams: Hot Chocolate Nutcracker,Documentary,"November 27, 2020",80,7.1,English
Derren Brown: Sacrifice,Mentalism special,"October 19, 2018",49,7.1,English
El Pepe: A Supreme Life,Documentary,"December 27, 2019",73,7.1,Spanish
End Game,Documentary,"May 4, 2018",40,7.1,English
Evelyn,Documentary,"September 10, 2019",96,7.1,English
Ferry,Crime drama,"May 14, 2021",106,7.1,Dutch
Grass Is Greener,Documentary,"April 20, 2019",97,7.1,English
Guillermo Vilas: Settling the Score,Documentary,"October 27, 2020",94,7.1,Spanish
Joshua: Teenager vs. Superpower,Documentary,"May 26, 2017",78,7.1,English
Keith Richards: Under the Influence,Documentary,"September 18, 2015",81,7.1,English
Knock Down the House,Documentary,"May 1, 2019",87,7.1,English
Loudon Wainwright III: Surviving Twin,One-man show,"November 13, 2018",91,7.1,English
My Beautiful Broken Brain,Documentary,"March 18, 2016",91,7.1,English
